CC,-1,0,0,0,
CC,-1,0,0,0,
FC,3,22,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,3,22,0,1,
CC,-1,0,0,0,
FC,3,22,0,1,
FC,8,22,0,1,
FC,9,22,0,1,
CC,-1,0,0,0,
FC,9,22,0,1,
FC,9,22,0,1,
FC,0,22,0,1,
FC,0,22,0,1,
CC,-1,0,0,0,
FC,0,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,0,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,9,21,0,1,
FC,0,21,0,1,
FC,0,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,0,21,0,1,
FC,0,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,9,21,0,1,
FC,0,21,0,1,
FC,0,21,0,1,
CC,-1,0,0,0,
FC,0,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,17,21,0,1,
FC,0,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,0,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,16,21,0,1,
FC,0,21,0,1,
FC,0,21,0,1,
CC,-1,0,0,0,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,1,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,1,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,9,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
FC,1,21,0,1,
CC,-1,0,0,0,
FC,1,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,9,21,0,1,
CC,-1,0,0,0,
FC,17,21,0,1,
CC,-1,0,0,0,
FC,9,21,0,1,
CC,-1,0,0,0,
FC,18,21,0,1,
FC,17,21,0,1,
CC,-1,0,0,0,
FC,17,21,0,1,
FC,18,21,0,1,
CC,-1,0,0,0,
FC,9,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
FC,9,21,0,1,
FC,19,21,0,1,
FC,0,21,0,1,
CC,-1,0,0,0,
FC,19,21,0,1,
FC,9,21,0,1,
CC,-1,0,0,0,
CC,-1,0,0,0,
CC,-1,0,0,0,
